Date,Duration (hours),Category,Description of completed task,Challenges and/or next steps,Reflection
1/26/26,2,"Research, Training, Learning",Joined the orientation zoom meeting where professor went over what is expected of the projects throughout the semester.,Meet with supervisor to discuss my internship tasks.,
1/27/26,1.5,Supervisor Discussion,Went to speak to my supervisor to discuss details of the internship and set up schedule that would work for both of us.,,
1/28/26,1.5,"Research, Training, Learning","First official day of internship. I was introduced to the team I would be working with. Set up all accounts necessary, where I would complete and submit tasks I get assigned.",,
1/28/26,1.5,"Research, Training, Learning",Went over how to use WordPress and Basecamp with supervisor.,,
1/28/26,1,"Research, Training, Learning",Watched tutorials on GitHub and went over the repository requirements.,I need more practice on using repositories.,
1/29/26,2,"Research, Training, Learning",Did some practice wordpress tasks with my supervisor.,,
1/29/26,1,"Research, Training, Learning",Worked on a couple of news post in wordpress.,,
1/30/26,1,Documentation,Created repository and updated timelog                                                                                                                                                               ,,
1/30/26,1,Other,Went over project details and took orientation quiz.,,
1/31/26,2,Other,Worked on creating my resume assignment.,,
2/1/26,1,Other,DId some final touch ups to resume,Need more projects to list and set up a linkedin account,
2/1/26,0.5,Documentation,Updaed timelog ,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,